"start","variable","value"
2020-07-04,"anger",-0.19876128936109
2020-07-11,"anger",-0.119925169912613
2020-07-18,"anger",-0.0783019956766619
2020-07-25,"anger",-0.226785943337074
2020-08-01,"anger",-0.154264059937204
2020-08-08,"anger",-0.169448292331612
2020-08-15,"anger",-0.16629938801869
2020-08-22,"anger",-0.157396396762849
2020-08-29,"anger",-0.0415874122806082
2020-09-05,"anger",-0.0626148405422725
2020-09-12,"anger",-0.0288206019342123
2020-09-19,"anger",-0.0798771803866528
2020-09-26,"anger",-0.137801533305286
2020-10-03,"anger",-0.137567245412642
2020-10-10,"anger",-0.107213191532696
2020-10-17,"anger",-0.0259561628816719
2020-10-24,"anger",-0.256685848844209
2020-10-31,"anger",-0.113539143086388
2020-11-07,"anger",-0.166263006404244
2020-11-14,"anger",-0.2168465443256
2020-11-21,"anger",-0.178574132781449
2020-11-28,"anger",-0.130951002122888
2020-12-05,"anger",-0.1412972980309
2020-12-12,"anger",-0.105710213540785
2020-12-19,"anger",-0.0563695902628499
2020-12-26,"anger",-0.122031973017698
2021-01-02,"anger",-0.156501289313127
2021-01-09,"anger",-0.0897740775674953
2021-01-16,"anger",-0.156012953910496
2021-01-23,"anger",-0.13946544959389
2020-01-05,"anger",-0.0692809994336492
2020-01-12,"anger",-0.202638582392828
2020-01-19,"anger",-0.0768824240416338
2020-01-26,"anger",-0.262041992503606
2020-02-02,"anger",-0.214218923229334
2020-02-09,"anger",-0.15277291757423
2020-02-16,"anger",-0.118527575702923
2020-02-23,"anger",-0.0852813158326861
2020-03-01,"anger",-0.00904454190215891
2020-03-08,"anger",-0.0391420406516837
2020-03-15,"anger",-0.263528304880225
2020-03-22,"anger",-0.256554372304074
2020-03-29,"anger",-0.252892639624974
2020-04-05,"anger",-0.232387850397364
2020-04-12,"anger",-0.300861914705632
2020-04-19,"anger",-0.263331394385352
2020-04-26,"anger",-0.131113683940136
2020-05-03,"anger",-0.17265389480168
2020-05-10,"anger",-0.153827204607347
2020-05-17,"anger",-0.151269328491789
2020-05-24,"anger",-0.160545532848646
2020-05-31,"anger",0.098931084983783
2020-06-07,"anger",-0.0600772019311715
2020-06-14,"anger",-0.125137686227868
2020-06-21,"anger",-0.0529156108580448
2020-06-28,"anger",-0.218708036459427
2020-07-05,"anger",-0.105100299405343
2020-07-12,"anger",-0.096989419075589
2020-07-19,"anger",-0.161527298835272
2020-07-26,"anger",-0.239024704476192
2020-08-02,"anger",-0.0775211375178648
2020-08-09,"anger",-0.141623609588882
2020-08-16,"anger",-0.115481388981484
2020-08-23,"anger",0.0190098852242226
2020-08-30,"anger",-0.0233927632249664
2020-09-06,"anger",-0.108076308234991
2020-09-13,"anger",-0.0148907636740031
2020-09-20,"anger",-0.138194982263612
2020-09-27,"anger",-0.0554538111005358
2020-10-04,"anger",-0.0933972931608359
2020-10-11,"anger",-0.282953806515786
2020-10-18,"anger",-0.0717436438987658
2020-10-25,"anger",-0.153152509076106
2020-11-01,"anger",-0.129002571655553
2020-11-08,"anger",-0.0205053646843228
2020-11-15,"anger",-0.180751833349872
2020-11-22,"anger",-0.145329686191766
2020-11-29,"anger",-0.0545485125480323
2020-12-06,"anger",-0.126268228269389
2020-12-13,"anger",-0.123412845154729
2020-12-20,"anger",-0.198369553824776
2020-12-27,"anger",-0.229942221219605
2021-01-03,"anger",-0.110059829618977
2021-01-10,"anger",-0.105057858239511
2021-01-17,"anger",-0.21872095999286
2021-01-24,"anger",-0.166009068413582
2020-01-02,"anger",-0.195821523900347
2020-01-09,"anger",-0.0578452976235295
2020-01-16,"anger",-0.0372626913888993
2020-01-23,"anger",-0.19744250121664
2020-01-30,"anger",-0.135908660602808
2020-02-06,"anger",-0.157705706433172
2020-02-13,"anger",-0.0864549426069739
2020-02-20,"anger",0.268505483153123
2020-02-27,"anger",-0.206450530647003
2020-03-05,"anger",-0.137866677944447
2020-03-12,"anger",-0.314660114417888
2020-03-19,"anger",-0.276831479762325
2020-03-26,"anger",-0.271063389080106
2020-04-02,"anger",-0.18768806750979
2020-04-09,"anger",-0.222177162105664
2020-04-16,"anger",-0.201459847960598
2020-04-23,"anger",-0.161834390177099
2020-04-30,"anger",-0.193413342525561
2020-05-07,"anger",-0.166181152780925
2020-05-14,"anger",-0.108610849746707
2020-05-21,"anger",-0.12846788151455
2020-05-28,"anger",-0.160276859102416
2020-06-04,"anger",0.115571837542041
2020-06-11,"anger",-0.0473672581980045
2020-06-18,"anger",-0.103097596049721
2020-06-25,"anger",-0.104037142180791
2020-07-02,"anger",0.0845231895423227
2020-07-09,"anger",-0.118786224703838
2020-07-16,"anger",-0.111356421523439
2020-07-23,"anger",-0.125932008338304
2020-07-30,"anger",0.000310980652272378
2020-08-06,"anger",-0.0591443765740624
2020-08-13,"anger",-0.144942650425035
2020-08-20,"anger",-0.0911264364852547
2020-08-27,"anger",-0.0384139062519428
2020-09-03,"anger",0.177107335484628
2020-09-10,"anger",0.00948582975472043
2020-09-17,"anger",-0.0957056438395272
2020-09-24,"anger",-0.111898485641199
2020-10-01,"anger",-0.172730193677283
2020-10-08,"anger",-0.133502616205847
2020-10-15,"anger",-0.151266335157472
2020-10-22,"anger",-0.133063645037636
2020-10-29,"anger",0.0320954785930991
2020-11-05,"anger",-0.0225704934277748
2020-11-12,"anger",-0.099494006478762
2020-11-19,"anger",-0.119585831286521
2020-11-26,"anger",-0.119675288052997
2020-12-03,"anger",-0.176697611295001
2020-12-10,"anger",0.00849640450013201
2020-12-17,"anger",-0.0501740522856945
2020-12-24,"anger",-0.373647398216565
2020-12-31,"anger",-0.27204746452293
2021-01-07,"anger",-0.0369215275211494
2021-01-14,"anger",-0.17523968643503
2021-01-21,"anger",-0.17720296838269
2020-01-07,"anger",-0.126860782231579
2020-01-14,"anger",-0.100003167377301
2020-01-21,"anger",-0.139472105333169
2020-01-28,"anger",-0.184121063897804
2020-02-04,"anger",-0.118195062831935
2020-02-11,"anger",-0.150017942006581
2020-02-18,"anger",-0.0534554640079567
2020-02-25,"anger",-0.214270026292984
2020-03-03,"anger",-0.0985902405162888
2020-03-10,"anger",-0.240180575297391
2020-03-17,"anger",-0.337590847319465
2020-03-24,"anger",-0.319702416984375
2020-03-31,"anger",-0.2430141872711
2020-04-07,"anger",-0.207110511011632
2020-04-14,"anger",-0.27597790171598
2020-04-21,"anger",-0.241589241033735
2020-04-28,"anger",-0.207267543602275
2020-05-05,"anger",-0.17893693201863
2020-05-12,"anger",-0.178977050239257
2020-05-19,"anger",-0.217117955035427
2020-05-26,"anger",-0.227333378807001
2020-06-02,"anger",0.0652001225604929
2020-06-09,"anger",-0.164421331722136
2020-06-16,"anger",-0.132750442795978
2020-06-23,"anger",-0.199502351328794
2020-06-30,"anger",-0.149883829380392
2020-07-07,"anger",-0.20553817602808
2020-07-14,"anger",-0.165445386240211
2020-07-21,"anger",-0.199106111980788
2020-07-28,"anger",-0.159230152811098
2020-08-04,"anger",-0.109982166676501
2020-08-11,"anger",-0.0775827905269503
2020-08-18,"anger",-0.0925375730310069
2020-08-25,"anger",-0.13601784100973
