"date","N","variable","value"
2020-03-27,3841,"anger",0.194706410711367
2020-01-01,1994,"anger",0.11335750302359
2020-01-08,2328,"anger",-0.0579575975181871
2020-01-15,2909,"anger",0.0312168697666162
2020-01-22,3253,"anger",-0.0911415156969066
2020-01-29,2962,"anger",0.26312452409957
2020-02-05,3133,"anger",0.0261416199774951
2020-02-12,3353,"anger",0.0258801660810467
2020-02-19,3465,"anger",-0.0537611071084767
2020-02-26,3031,"anger",0.03520052470263
2020-03-04,3712,"anger",-0.201218546579945
2020-03-11,4929,"anger",0.142580962132791
2020-03-18,4865,"anger",0.247413454099339
2020-03-25,5826,"anger",0.422399475794919
2020-04-01,4113,"anger",0.215622748660692
2020-01-06,2020,"anger",0.0760537280885921
2020-01-13,2374,"anger",-0.218275012309266
2020-01-20,2288,"anger",0.057131089902163
2020-01-27,2055,"anger",0.147285942638388
2020-02-03,2102,"anger",-0.31667289114564
2020-02-10,2986,"anger",-0.0265790828910123
2020-02-17,2558,"anger",0.136935596369559
2020-02-24,3354,"anger",0.681866061948222
2020-03-02,3059,"anger",-0.00664259144529138
2020-03-09,3057,"anger",0.0709865401834562
2020-03-16,4975,"anger",0.156728097380814
2020-03-23,4425,"anger",0.0524969149757043
2020-03-30,4874,"anger",0.197547304960234
2020-01-04,2463,"anger",0.367863318626425
2020-01-11,1985,"anger",0.0507231213908329
2020-01-18,2401,"anger",0.135816008805483
2020-01-25,2554,"anger",-0.460663251103298
2020-02-01,2080,"anger",-0.217924731388528
2020-02-08,2425,"anger",0.0484464691370684
2020-02-15,2989,"anger",-0.0843800097003603
2020-02-22,2020,"anger",-0.141859295015426
2020-02-29,2872,"anger",0.185845380397133
2020-03-07,2814,"anger",-0.208928860019588
2020-03-14,4293,"anger",0.332182899034902
2020-03-21,3987,"anger",0.0622961008726385
2020-03-28,4588,"anger",0.404063535536944
2020-01-05,3160,"anger",-0.0810405254322364
2020-01-12,1743,"anger",0.0655793562643415
2020-01-19,2702,"anger",-0.203976210773682
2020-01-26,2729,"anger",-0.156058396387846
2020-02-02,2505,"anger",-0.02176440550405
2020-02-09,2466,"anger",0.110525171586422
2020-02-16,2263,"anger",-0.147382635592189
2020-02-23,2850,"anger",-0.0646503139868866
2020-03-01,3787,"anger",0.284432786210446
2020-03-08,4108,"anger",0.25528200316512
2020-03-15,6100,"anger",0.201267863297889
2020-03-22,4666,"anger",0.128231595186364
2020-03-29,4054,"anger",0.21767804947591
2020-06-30,611,"anxiety",-0.566794434685066
2020-06-29,566,"anxiety",-0.192563629828891
2020-06-28,397,"anxiety",-0.217828843150398
2020-06-27,635,"anxiety",0.895028396041378
2020-06-26,592,"anxiety",0.252053108074465
2020-06-25,818,"anxiety",0.698841107141755
2020-06-24,909,"anxiety",-0.415821105872106
2020-06-23,650,"anxiety",0.217535249370536
2020-06-22,826,"anxiety",-0.218771372260764
2020-06-21,794,"anxiety",0.137068883106157
2020-06-20,787,"anxiety",0.409163679889979
2020-06-19,761,"anxiety",-0.320816414835825
2020-06-18,699,"anxiety",-0.261562875716756
2020-06-17,722,"anxiety",-0.19305297770807
2020-06-16,517,"anxiety",0.0466723911468495
2020-06-15,765,"anxiety",0.054253278179116
2020-06-14,839,"anxiety",-0.0957576762846294
2020-06-13,679,"anxiety",0.352791170836061
2020-06-12,550,"anxiety",0.175489019089069
2020-06-11,439,"anxiety",0.771058668297671
2020-06-10,644,"anxiety",0.52153966598781
2020-06-09,766,"anxiety",-0.317437247065463
2020-06-08,977,"anxiety",0.051990776829769
2020-06-07,599,"anxiety",0.744849706776184
2020-06-06,514,"anxiety",0.195834163428794
2020-06-05,615,"anxiety",-0.137487344169429
2020-06-04,798,"anxiety",-0.375715575719275
2020-06-03,909,"anxiety",-0.105591016109221
2020-06-02,695,"anxiety",0.57038241826586
2020-06-01,364,"anxiety",0.525844924936451
2020-05-31,225,"anxiety",-0.666954394446226
2020-05-30,359,"anxiety",-0.256951877208285
2020-05-29,461,"anxiety",-0.600780697998859
2020-05-28,421,"anxiety",-0.251503187954097
2020-05-27,427,"anxiety",-0.250313631041498
2020-05-26,706,"anxiety",0.221162035227134
2020-05-25,649,"anxiety",-0.408763354162861
2020-05-24,408,"anxiety",-0.489093882944195
2020-05-22,468,"anxiety",-0.602689686402295
2020-05-20,518,"anxiety",-0.0223959244131358
2020-05-19,462,"anxiety",-0.599640731969343
2020-05-18,466,"anxiety",-0.26089268075944
2020-05-17,532,"anxiety",-0.113174915594696
2020-05-15,534,"anxiety",-0.320238144981187
2020-05-14,382,"anxiety",-0.575914690920897
2020-05-13,596,"anxiety",-0.269130239645073
2020-05-12,749,"anxiety",-0.194351338836565
2020-05-11,608,"anxiety",-0.168658254293922
2020-05-10,343,"anxiety",1.63769222682942
2020-05-09,215,"anxiety",-0.411741697228943
2020-05-08,330,"anxiety",-0.148256039728276
2020-05-07,408,"anxiety",0.488482644727754
2020-05-06,585,"anxiety",-0.369129668577295
2020-05-05,637,"anxiety",0.0172863337596816
2020-05-04,756,"anxiety",-0.304625273353402
2020-05-03,635,"anxiety",-0.110766653042526
2020-05-02,550,"anxiety",0.844248499875457
2020-05-01,415,"anxiety",-0.496755314127484
2020-04-30,587,"anxiety",-0.632397947073378
2020-04-29,816,"anxiety",-0.322637683508356
2020-04-28,825,"anxiety",-0.292216599494008
2020-04-27,677,"anxiety",-0.256459602855769
2020-04-26,591,"anxiety",-0.191359959269239
2020-04-25,421,"anxiety",-0.711435787891101
2020-04-24,1239,"anxiety",-0.224734593174012
2020-04-23,447,"anxiety",-0.11593910133011
2020-04-22,545,"anxiety",0.36279140019698
2020-04-21,573,"anxiety",0.130639470330514
2020-04-20,663,"anxiety",-0.0849224803711457
2020-04-19,491,"anxiety",0.14734674171951
2020-04-18,691,"anxiety",0.495652537802555
2020-04-17,767,"anxiety",0.769176895181173
2020-04-16,712,"anxiety",0.239754464122525
2020-04-15,530,"anxiety",-0.334613521660433
2020-04-14,993,"anxiety",-0.130625951933835
2020-04-13,884,"anxiety",-0.349188192950238
2020-04-12,624,"anxiety",-0.181409578195581
2020-04-11,1940,"anxiety",0.0996517459880884
2020-04-10,1076,"anxiety",0.661393399860428
2020-04-09,570,"anxiety",-0.600921898000478
2020-04-08,1189,"anxiety",0.0517234712470207
2020-04-07,777,"anxiety",-0.0850755347967265
2020-04-06,1046,"anxiety",-0.324118498148185
2020-04-05,1011,"anxiety",0.0255655290044961
2020-04-04,2243,"anxiety",0.0468247867551721
2020-04-03,4796,"anxiety",-0.202968336518006
2020-01-07,2537,"anxiety",0.108255049661807
2020-01-14,2144,"anxiety",-0.00432249092186652
2020-01-21,2412,"anxiety",-0.475722119832002
2020-01-28,2692,"anxiety",-0.0461053184657109
2020-02-04,2446,"anxiety",-0.045991856188717
2020-02-11,3794,"anxiety",0.0492060842329012
2020-02-18,2666,"anxiety",0.260840849507376
2020-02-25,2676,"anxiety",0.754425432928472
2020-03-03,4140,"anxiety",0.107465359554439
2020-03-10,5959,"anxiety",0.281091153969284
2020-03-17,5629,"anxiety",0.183728765030191
2020-03-24,4679,"anxiety",-0.153970361759169
2020-03-31,5045,"anxiety",0.068497539216595
2020-01-02,2435,"anxiety",0.00981599908952712
2020-01-09,2215,"anxiety",-0.150574929930288
2020-01-16,2892,"anxiety",0.454524773273944
2020-01-23,2902,"anxiety",-0.00446895731990965
2020-01-30,2580,"anxiety",0.323459896166021
2020-02-06,3875,"anxiety",0.0922788999935073
2020-02-13,3224,"anxiety",-0.00222828841799841
2020-02-20,2764,"anxiety",-0.198485395609501
2020-02-27,4173,"anxiety",0.83145891147074
2020-03-05,3605,"anxiety",-0.0552041368806084
2020-03-12,5067,"anxiety",0.846374273097196
2020-03-19,3815,"anxiety",-0.0292060287562972
2020-03-26,4099,"anxiety",0.230075716726807
2020-04-02,1834,"anxiety",-0.066573446155626
2020-01-03,2595,"anxiety",0.236167414937778
2020-01-10,2133,"anxiety",0.240528128310935
2020-01-17,2737,"anxiety",-0.186794440745765
2020-01-24,2460,"anxiety",0.0853723988292167
2020-01-31,2558,"anxiety",-0.0768419411817298
2020-02-07,2664,"anxiety",-0.315022703812687
2020-02-14,3726,"anxiety",0.0196078696230914
2020-02-21,2527,"anxiety",0.233678099715707
2020-02-28,3398,"anxiety",0.997134716670977
2020-03-06,2865,"anxiety",-0.189468875784278
2020-03-13,5335,"anxiety",0.620248772541557
2020-03-20,4980,"anxiety",0.0191533100381502
2020-03-27,3841,"anxiety",0.197293121951121
2020-01-01,1994,"anxiety",-0.0526580907538166
2020-01-08,2328,"anxiety",0.558229176383841
2020-01-15,2909,"anxiety",-0.290216494272198
2020-01-22,3253,"anxiety",0.235805829921867
